19990,0,10,0
19978,12,10,0
19962,24,14,0
19942,36,19,3
19900,59,36,5
19821,106,66,7
19657,199,126,18
19361,342,271,26
18754,663,531,52
17579,1262,1039,120
15559,2132,2054,255
12402,3323,3718,557
8314,4272,6345,1069
4553,3955,9566,1926
1912,2831,12021,3236
741,1345,13151,4763
285,597,12575,6543
119,280,11395,8206
75,143,10099,9683
60,104,8795,11041
65,79,7646,12210
72,74,6655,13199
81,64,5772,14083
101,67,5034,14798
122,64,4391,15423
149,71,3811,15969
151,89,3332,16428
173,79,2923,16825
199,80,2547,17174
228,85,2226,17461
249,88,1984,17679
263,85,1771,17881
312,76,1545,18067
343,71,1365,18221
379,64,1196,18361
413,67,1041,18479
451,56,950,18543
496,57,842,18605
524,59,756,18661
568,60,669,18703
610,56,600,18734
647,58,537,18758
699,59,491,18751
733,56,449,18762
771,47,418,18764
828,38,381,18753
885,36,329,18750
954,39,307,18700
1002,39,276,18683
1042,25,256,18677
1097,35,223,18645
1139,28,216,18617
1192,29,205,18574
1251,31,188,18530
1292,27,185,18496
1343,24,177,18456
1403,25,164,18408
1450,25,153,18372
1505,21,139,18335
1555,23,132,18290
1608,21,119,18252
1641,25,110,18224
1698,16,107,18179
1759,23,97,18121
1816,19,105,18060
1874,18,107,18001
1919,22,102,17957
1953,34,100,17913
1992,28,115,17865
2032,26,121,17821
2072,23,119,17786
2128,25,115,17732
2169,27,110,17694
2202,29,116,17653
2238,32,121,17609
2281,32,128,17559
2311,37,132,17520
2353,34,141,17472
2382,32,141,17445
2420,35,146,17399
2452,41,150,17357
2468,39,155,17338
2496,43,166,17295
2532,34,174,17260
2561,37,170,17232
2582,42,174,17202
2590,42,185,17183
2609,37,194,17160
2629,40,199,17132
2665,34,210,17091
2678,49,197,17076
2696,52,203,17049
2711,56,224,17009
2717,66,231,16986
2726,59,255,16960
2717,68,268,16947
2724,66,283,16927
2703,84,310,16903
2681,87,340,16892
2669,80,361,16890
2632,101,372,16895
2623,75,411,16891
2571,117,415,16897
2549,98,454,16899
2531,103,459,16907
2491,119,485,16905
2463,115,520,16902
2442,127,539,16892
2414,128,568,16890
2382,121,597,16900
2325,133,613,16929
2268,130,606,16996
2264,118,606,17012
2230,145,598,17027
2185,136,629,17050
2139,140,643,17078
2081,153,653,17113
2040,151,658,17151
2031,126,680,17163
2017,127,679,17177
2002,136,679,17183
1980,136,692,17192
1971,120,705,17204
1938,159,698,17205
1905,135,743,17217
1872,143,743,17242
1845,148,745,17262
1850,128,751,17271
1844,134,734,17288
1828,143,712,17317
1835,125,709,17331
1839,114,701,17346
1834,143,669,17354
1850,119,705,17326
1823,142,703,17332
1814,129,680,17377
1808,121,681,17390
1820,119,654,17407
1839,117,646,17398
1827,134,635,17404
1840,115,645,17400
1835,140,623,17402
1852,123,634,17391
1844,124,623,17409
1864,112,609,17415
1876,120,598,17406
1878,124,588,17410
1912,109,582,17397
1919,127,571,17383
1925,131,574,17370
1936,120,576,17368
1973,107,574,17346
1987,124,573,17316
2009,113,577,17301
2030,112,579,17279
2038,110,589,17263
2037,123,584,17256
2051,123,581,17245
2058,131,576,17235
2062,136,581,17221
2078,129,579,17214
2088,137,592,17183
2093,137,608,17162
2077,156,615,17152
2071,158,649,17122
2066,154,654,17126
2072,145,669,17114
2067,141,684,17108
2056,132,693,17119
2054,128,668,17150
2064,144,653,17139
2062,141,677,17120
2065,141,675,17119
2030,157,684,17129
2026,148,704,17122
2027,148,701,17124
2039,150,705,17106
2030,144,718,17108
2043,141,716,17100
2054,151,683,17112
2030,157,697,17116
2021,146,703,17130
2016,147,709,17128
2018,144,695,17143
2023,151,711,17115
2009,157,729,17105
2023,152,729,17096
2027,154,734,17085
2012,182,731,17075
2004,154,761,17081
2015,160,739,17086
1988,161,722,17129
1995,179,730,17096
2009,148,759,17084
1991,160,762,17087
2017,146,766,17071
2016,153,759,17072
2006,148,755,17091
2006,151,754,17089
1999,163,759,17079
1989,162,768,17081
1963,165,778,17094
1953,160,794,17093
1963,163,793,17081
1957,169,817,17057
1955,142,845,17058
1947,165,814,17074
1921,184,802,17093
1904,184,817,17095
1906,181,831,17082
1895,174,839,17092
1890,187,808,17115
1881,167,839,17113
1891,157,842,17110
1889,182,819,17110
1872,179,840,17109
1891,145,855,17109
1855,193,831,17121
1867,157,847,17129
1848,189,822,17141
1860,168,847,17125
1856,166,844,17134
1869,169,836,17126
1855,167,833,17145
1859,179,827,17135
1871,151,826,17152
1838,190,812,17160
1828,166,833,17173
1852,170,823,17155
1837,182,829,17152
1823,180,827,17170
1807,189,831,17173
1778,190,834,17198
1793,163,848,17196
1778,174,824,17224
1780,168,830,17222
1802,152,816,17230
1822,146,788,17244
1834,155,773,17238
1846,164,766,17224
1842,160,789,17209
1859,165,772,17204
1864,174,761,17201
1852,186,756,17206
1857,175,755,17213
1903,159,761,17177
1916,153,770,17161
1900,162,758,17180
1892,165,763,17180
1902,157,782,17159
1906,161,759,17174
1922,152,774,17152
1941,152,775,17132
1932,168,741,17159
1961,143,743,17153
1955,155,739,17151
1963,156,746,17135
1970,153,748,17129
2001,152,742,17105
2021,155,728,17096
2026,155,713,17106
2052,150,723,17075
2048,159,734,17059
2034,156,744,17066
2047,157,737,17059
2079,149,735,17037
2092,165,725,17018
2090,181,724,17005
2085,181,755,16979
2069,183,766,16982
2054,178,787,16981
2048,192,774,16986
2038,171,800,16991
2035,175,804,16986
2047,193,795,16965
2043,182,819,16956
2030,212,823,16935
2006,188,858,16948
2006,179,850,16965
2001,190,836,16973
1970,200,860,16970
1951,186,893,16970
1942,195,912,16951
1917,193,922,16968
1904,194,941,16961
1878,193,924,17005
1846,197,927,17030
1831,189,926,17054
1798,192,922,17088
1783,188,929,17100
1782,177,912,17129
1762,187,884,17167
1749,175,876,17200
1741,171,866,17222
1743,174,862,17221
1759,151,875,17215
1772,158,839,17231
1793,183,822,17202
1797,175,826,17202
1809,183,827,17181
1841,177,807,17175
1828,194,795,17183
1841,197,816,17146
1842,183,835,17140
1871,167,840,17122
1885,177,792,17146
1888,181,809,17122
1860,198,803,17139
1878,180,818,17124
1890,173,808,17129
1898,188,811,17103
1905,165,824,17106
1893,184,817,17106
1911,169,826,17094
1907,180,803,17110
1925,175,799,17101
1942,169,804,17085
1967,167,793,17073
1952,195,790,17063
1960,162,826,17052
1953,177,809,17061
1975,168,811,17046
1989,162,805,17044
2008,138,801,17053
2022,172,769,17037
2029,154,778,17039
2027,158,771,17044
2026,166,776,17032
2028,169,791,17012
2047,170,796,16987
2050,168,800,16982
2044,175,803,16978
2064,179,809,16948
2054,171,814,16961
2029,196,807,16968
2029,192,818,16961
2040,176,834,16950
2040,183,832,16945
2041,171,855,16933
2024,191,847,16938
1992,187,854,16967
1993,181,860,16966
1987,171,870,16972
1975,192,862,16971
1957,192,879,16972
1959,175,909,16957
1972,204,883,16941
1965,200,879,16956
