19990,0,10,0
19980,10,9,1
19973,15,9,3
19961,21,14,4
19936,35,23,6
19892,54,46,8
19805,104,78,13
19640,190,150,20
19310,359,290,41
18672,687,558,83
17567,1186,1080,167
15620,2051,2025,304
12513,3245,3669,573
8562,4132,6252,1054
4644,4091,9371,1894
2031,2781,12066,3122
706,1471,13074,4749
271,553,12662,6514
131,246,11480,8143
82,132,10129,9657
76,95,8852,10977
74,89,7705,12132
75,82,6749,13094
83,82,5877,13958
94,85,5097,14724
111,73,4441,15375
136,69,3860,15935
163,71,3377,16389
181,80,2953,16786
207,74,2569,17150
232,67,2251,17450
284,59,1963,17694
330,64,1710,17896
358,68,1495,18079
378,82,1325,18215
421,78,1174,18327
450,85,1054,18411
488,83,945,18484
509,92,853,18546
536,89,779,18596
583,77,696,18644
614,78,628,18680
661,57,574,18708
703,55,514,18728
750,53,474,18723
789,47,427,18737
819,46,399,18736
887,34,366,18713
932,34,319,18715
985,36,285,18694
1040,26,271,18663
1096,25,247,18632
1147,29,224,18600
1194,29,218,18559
1245,36,204,18515
1295,32,198,18475
1334,40,172,18454
1390,37,171,18402
1451,36,167,18346
1508,35,168,18289
1559,40,162,18239
1607,29,160,18204
1651,41,145,18163
1701,33,152,18114
1751,32,157,18060
1802,27,153,18018
1834,27,149,17990
1877,33,148,17942
1928,24,130,17918
1965,25,130,17880
2001,30,129,17840
2046,35,132,17787
2098,22,147,17733
2147,23,134,17696
2188,36,129,17647
2240,17,142,17601
2282,34,121,17563
2315,26,123,17536
2350,26,126,17498
2389,20,131,17460
2420,34,129,17417
2464,24,141,17371
2500,28,136,17336
2526,31,140,17303
2566,26,148,17260
2574,44,150,17232
2604,36,166,17194
2634,32,176,17158
2649,41,177,17133
2646,51,191,17112
2674,51,211,17064
2694,51,229,17026
2698,62,242,16998
2702,61,252,16985
2703,65,268,16964
2707,70,292,16931
2714,62,292,16932
2693,84,307,16916
2687,72,322,16919
2691,77,333,16899
2664,105,353,16878
2671,84,380,16865
2649,99,379,16873
2626,95,417,16862
2603,97,430,16870
2584,105,444,16867
2563,94,461,16882
2547,103,469,16881
2513,114,462,16911
2470,133,493,16904
2438,115,528,16919
2393,125,540,16942
2376,110,567,16947
2360,120,579,16941
2335,131,586,16948
2302,127,597,16974
2259,144,604,16993
2234,133,625,17008
2210,122,625,17043
2178,142,623,17057
2132,140,645,17083
2070,150,678,17102
2028,139,705,17128
1998,138,716,17148
1975,132,702,17191
1956,128,701,17215
1922,149,712,17217
1894,131,731,17244
1862,155,696,17287
1851,144,722,17283
1831,134,737,17298
1832,107,745,17316
1847,108,713,17332
1842,113,681,17364
1846,116,648,17390
1877,121,625,17377
1900,115,613,17372
1901,131,609,17359
1919,127,626,17328
1906,153,613,17328
1892,136,651,17321
1884,145,635,17336
1885,143,632,17340
1882,142,632,17344
1867,133,634,17366
1865,117,629,17389
1871,130,629,17370
1866,136,643,17355
1860,135,652,17353
1877,127,658,17338
1883,128,649,17340
1870,129,641,17360
1888,124,632,17356
1899,127,634,17340
1906,122,625,17347
1932,132,615,17321
1968,129,614,17289
1977,134,609,17280
1982,140,631,17247
2005,137,627,17231
2000,149,631,17220
2003,144,631,17222
2009,146,642,17203
2023,124,664,17189
2027,135,651,17187
2015,153,650,17182
2006,155,663,17176
2003,148,679,17170
2019,140,682,17159
1994,169,675,17162
2014,153,680,17153
2034,143,690,17133
2049,153,701,17097
2046,155,708,17091
2021,167,697,17115
2039,157,712,17092
2055,164,708,17073
2046,179,713,17062
2047,163,717,17073
2055,161,721,17063
2039,174,724,17063
2047,168,736,17049
2054,175,769,17002
2032,191,763,17014
2026,167,777,17030
2039,161,780,17020
2036,169,763,17032
2023,176,766,17035
1991,191,773,17045
1970,181,805,17044
1972,183,814,17031
1983,171,819,17027
1977,168,811,17044
1962,182,794,17062
1956,182,794,17068
1930,176,812,17082
1921,172,815,17092
1901,177,817,17105
1881,186,810,17123
1881,163,828,17128
1891,166,829,17114
1872,178,836,17114
1885,168,855,17092
1850,188,824,17138
1848,159,843,17150
1845,175,821,17159
1851,164,827,17158
1863,175,827,17135
1849,169,822,17160
1844,170,788,17198
1844,170,786,17200
1859,166,794,17181
1869,155,798,17178
1863,169,770,17198
1874,160,769,17197
1884,145,769,17202
1891,156,744,17209
1873,172,752,17203
1885,156,757,17202
1885,172,736,17207
1888,168,738,17206
1904,168,725,17203
1926,167,731,17176
1943,168,730,17159
1958,144,748,17150
1988,154,728,17130
1990,179,718,17113
2041,143,737,17079
2051,161,725,17063
2071,154,721,17054
2093,163,720,17024
2106,172,726,16996
2117,163,731,16989
2110,184,743,16963
2108,157,765,16970
2113,170,765,16952
2085,193,773,16949
2061,181,782,16976
2053,183,799,16965
2042,160,812,16986
2042,186,798,16974
2036,174,805,16985
2047,182,791,16980
2028,173,786,17013
2015,189,792,17004
2000,183,802,17015
2003,175,791,17031
2004,183,795,17018
2002,181,781,17036
2001,181,773,17045
2008,163,773,17056
2013,186,759,17042
2014,178,786,17022
2038,162,792,17008
2037,178,767,17018
2023,180,775,17022
2029,174,793,17004
2033,164,794,17009
2041,177,790,16992
2034,196,796,16974
2004,211,809,16976
1993,187,846,16974
1992,203,843,16962
1947,218,873,16962
1926,202,897,16975
1908,204,909,16979
1936,178,901,16985
1927,175,891,17007
1920,189,877,17014
1921,179,868,17032
1934,163,859,17044
1915,189,839,17057
1925,177,832,17066
1924,180,837,17059
1931,180,820,17069
1942,185,815,17058
1962,170,818,17050
1978,170,813,17039
1964,194,802,17040
1970,165,807,17058
1984,164,802,17050
1979,181,806,17034
1975,182,806,17037
1980,167,812,17041
1986,181,813,17020
1993,166,813,17028
1995,177,789,17039
1981,182,799,17038
1960,177,812,17051
1997,159,805,17039
1986,164,782,17068
1994,171,775,17060
1978,202,759,17061
1981,187,788,17044
1960,181,801,17058
1959,191,810,17040
1957,205,814,17024
1972,200,842,16986
1972,202,842,16984
1958,205,844,16993
1953,214,850,16983
1928,221,883,16968
1923,189,908,16980
1921,186,882,17011
1921,191,876,17012
1919,187,867,17027
1908,207,862,17023
1918,200,860,17022
1903,208,876,17013
1885,200,886,17029
1898,181,901,17020
1904,180,896,17020
