19990,0,10,0
19984,6,8,2
19979,11,7,3
19972,16,8,4
19959,22,14,5
19934,31,27,8
19886,60,42,12
19789,110,83,18
19600,206,158,36
19242,375,328,55
18544,734,626,96
17222,1371,1220,187
15009,2281,2347,363
11689,3414,4213,684
7598,4211,6930,1261
3926,3795,10132,2147
1682,2359,12512,3447
656,1119,13127,5098
265,473,12507,6755
128,215,11233,8424
88,111,9904,9897
66,90,8667,11177
56,89,7538,12317
61,70,6590,13279
74,63,5736,14127
94,58,4980,14868
116,63,4302,15519
130,72,3756,16042
176,70,3301,16453
196,79,2848,16877
222,88,2514,17176
245,77,2240,17438
267,87,1957,17689
277,89,1735,17899
306,88,1577,18029
340,78,1376,18206
368,89,1208,18335
406,74,1064,18456
433,73,926,18568
464,68,836,18632
511,58,727,18704
559,59,665,18717
599,58,587,18756
669,48,517,18766
706,49,444,18801
754,54,401,18791
809,43,379,18769
864,43,344,18749
934,34,318,18714
990,41,287,18682
1050,43,255,18652
1106,37,238,18619
1177,35,232,18556
1224,42,212,18522
1287,37,200,18476
1325,32,185,18458
1358,34,178,18430
1404,32,174,18390
1440,24,168,18368
1501,23,155,18321
1544,30,148,18278
1610,24,146,18220
1669,22,136,18173
1721,28,124,18127
1780,25,123,18072
1831,23,116,18030
1872,27,109,17992
1910,28,105,17957
1969,19,112,17900
2015,25,110,17850
2055,27,114,17804
2086,33,115,17766
2129,31,121,17719
2173,35,119,17673
2206,22,133,17639
2238,30,130,17602
2268,27,127,17578
2302,19,137,17542
2339,31,129,17501
2365,36,142,17457
2405,31,150,17414
2442,27,161,17370
2487,40,160,17313
2516,39,167,17278
2545,38,180,17237
2563,34,182,17221
2569,43,188,17200
2580,55,198,17167
2591,47,220,17142
2591,55,233,17121
2585,53,247,17115
2594,59,257,17090
2614,70,275,17041
2624,64,297,17015
2622,70,314,16994
2605,87,332,16976
2606,73,358,16963
2584,95,369,16952
2571,85,395,16949
2539,102,390,16969
2530,93,401,16976
2510,98,422,16970
2505,80,448,16967
2494,90,454,16962
2486,79,475,16960
2459,106,454,16981
2428,107,479,16986
2411,104,503,16982
2358,124,519,16999
2321,123,547,17009
2275,127,563,17035
2261,116,584,17039
2219,136,603,17042
2208,108,617,17067
2170,127,615,17088
2147,120,628,17105
2114,123,637,17126
2096,139,638,17127
2064,138,667,17131
2016,143,690,17151
1965,150,706,17179
1947,138,739,17176
1924,125,747,17204
1878,151,746,17225
1833,143,768,17256
1814,125,776,17285
1784,146,746,17324
1732,153,737,17378
1727,131,763,17379
1701,141,757,17401
1715,128,750,17407
1719,125,734,17422
1712,147,713,17428
1726,137,712,17425
1719,142,712,17427
1711,143,699,17447
1716,136,677,17471
1694,155,675,17476
1681,142,680,17497
1694,113,676,17517
1714,118,660,17508
1734,121,648,17497
1749,130,630,17491
1755,130,644,17471
1754,122,629,17495
1778,113,635,17474
1789,119,610,17482
1834,112,586,17468
1848,104,579,17469
1902,98,581,17419
1914,114,582,17390
1939,122,586,17353
1948,133,592,17327
1985,113,601,17301
2006,130,574,17290
2007,130,576,17287
2027,124,584,17265
2045,117,571,17267
2056,136,563,17245
2083,116,574,17227
2089,130,581,17200
2111,125,592,17172
2128,133,581,17158
2115,148,593,17144
2125,139,607,17129
2143,134,616,17107
2157,130,628,17085
2156,144,619,17081
2172,144,621,17063
2160,153,637,17050
2162,139,664,17035
2179,149,659,17013
2174,150,673,17003
2155,164,672,17009
2136,158,695,17011
2141,141,694,17024
2127,154,694,17025
2137,153,710,17000
2125,152,699,17024
2108,169,724,16999
2102,185,736,16977
2099,172,747,16982
2092,160,747,17001
2067,188,735,17010
2062,175,777,16986
2059,174,791,16976
2055,173,786,16986
2027,188,775,17010
2020,188,802,16990
2020,175,795,17010
2016,178,778,17028
2025,184,769,17022
1999,194,789,17018
1972,175,824,17029
1968,172,838,17022
1978,165,857,17000
1960,156,851,17033
1942,166,855,17037
1934,162,845,17059
1923,180,851,17046
1943,173,871,17013
1953,158,874,17015
1934,180,868,17018
1937,166,884,17013
1922,185,878,17015
1916,174,872,17038
1886,190,877,17047
1869,180,868,17083
1849,182,873,17096
1849,169,878,17104
1889,147,870,17094
1868,172,851,17109
1845,167,849,17139
1847,162,844,17147
1867,168,830,17135
1873,162,835,17130
1853,174,832,17141
1866,165,835,17134
1891,162,821,17126
1880,174,794,17152
1883,167,797,17153
1881,163,814,17142
1857,179,827,17137
1856,178,823,17143
1882,140,830,17148
1880,164,805,17151
1874,172,810,17144
1882,160,822,17136
1908,160,817,17115
1915,193,812,17080
1908,178,842,17072
1902,186,819,17093
1910,194,835,17061
1888,200,847,17065
1894,188,856,17062
1907,183,845,17065
1896,201,849,17054
1892,177,870,17061
1892,166,850,17092
1882,189,838,17091
1887,189,836,17088
1883,178,831,17108
1866,209,825,17100
1872,168,863,17097
1879,185,839,17097
1888,163,850,17099
1874,183,821,17122
1862,191,855,17092
1849,191,867,17093
1849,172,889,17090
1843,180,864,17113
1857,177,851,17115
1870,178,852,17100
1868,183,839,17110
1844,195,867,17094
1861,163,876,17100
1849,178,853,17120
1802,200,837,17161
1828,167,864,17141
1827,188,847,17138
1852,156,857,17135
1846,180,832,17142
1863,167,839,17131
1898,135,852,17115
1882,172,803,17143
1868,174,817,17141
1847,180,829,17144
1823,180,837,17160
1828,182,849,17141
1852,158,839,17151
1816,191,825,17168
1828,179,839,17154
1827,172,836,17165
1836,181,814,17169
1816,190,828,17166
1841,164,818,17177
1873,161,803,17163
1899,160,789,17152
1880,189,771,17160
1892,193,796,17119
1875,202,815,17108
1905,162,817,17116
1899,179,812,17110
1891,178,830,17101
1891,157,840,17112
1877,183,824,17116
1870,169,835,17126
1860,169,838,17133
1824,186,838,17152
1831,174,844,17151
1830,165,862,17143
1804,180,869,17147
1784,176,877,17163
1783,195,886,17136
1766,195,881,17158
1778,194,875,17153
1767,188,879,17166
1783,185,874,17158
1778,199,862,17161
1780,186,874,17160
1785,178,885,17152
1818,164,870,17148
1862,163,863,17112
1836,199,844,17121
1842,188,843,17127
1828,203,869,17100
1854,182,870,17094
1853,209,855,17083
1849,175,861,17115
1881,187,850,17082
1882,179,836,17103
1896,192,828,17084
1880,199,831,17090
1873,180,833,17114
1864,204,825,17107
1889,176,845,17090
1899,172,828,17101
1906,172,825,17097
1907,172,833,17088
1891,181,822,17106
1898,172,841,17089
1907,176,833,17084
1912,180,840,17068
1913,165,863,17059
1931,180,836,17053
1942,177,840,17041
1963,171,830,17036
1965,180,824,17031
1983,167,826,17024
1966,194,827,17013
1957,184,829,17030
1972,173,833,17022
1968,162,853,17017
1967,158,852,17023
1968,168,840,17024
1961,168,826,17045
1959,185,830,17026
1945,183,840,17032
1936,181,848,17035
1937,195,853,17015
1972,187,864,16977
1972,200,881,16947
1956,208,876,16960
1968,186,896,16950
1962,201,904,16933
1936,210,908,16946
1933,204,905,16958
1934,186,926,16954
1934,202,928,16936
1924,204,949,16923
1911,228,937,16924
1863,227,954,16956
1849,223,987,16941
1848,210,999,16943
1836,214,995,16955
1833,227,1001,16939
1812,220,1025,16943
1819,211,1024,16946
1789,217,1018,16976
1756,224,1028,16992
1762,210,1024,17004
1725,236,1014,17025
1729,205,1031,17035
1722,205,1004,17069
1726,213,981,17080
1722,201,969,17108
1742,178,953,17127
1717,203,931,17149
1725,178,955,17142
1747,181,947,17125
1746,189,932,17133
1776,170,949,17105
1813,175,923,17089
1837,179,895,17089
1846,180,878,17096
1858,194,847,17101
1870,183,848,17099
1890,184,831,17095
1910,186,826,17078
1920,205,818,17057
1914,211,839,17036
1923,189,838,17050
1956,172,840,17032
1939,213,813,17035
1957,193,834,17016
1963,192,827,17018
1976,194,843,16987
1962,204,829,17005
1966,187,851,16996
1971,182,853,16994
1925,212,830,17033
1919,189,835,17057
1934,179,851,17036
1925,183,876,17016
1948,177,876,16999
1942,183,882,16993
1925,205,887,16983
1937,169,900,16994
1946,167,880,17007
1918,196,883,17003
1906,198,894,17002
1905,201,881,17013
1917,194,880,17009
1916,206,878,17000
1913,210,876,17001
1887,202,889,17022
1885,222,883,17010
1857,217,890,17036
1870,200,899,17031
1856,215,898,17031
1825,220,904,17051
1836,198,928,17038
