19990,0,10,0
19989,1,10,0
19987,2,9,2
19985,3,8,4
19983,4,9,4
19979,7,7,7
19972,10,11,7
19968,6,18,8
19960,9,23,8
19947,15,28,10
19932,18,35,15
19913,22,45,20
19884,31,51,34
19851,35,75,39
19802,51,90,57
19737,68,124,71
19657,83,173,87
19557,104,233,106
19445,115,303,137
19268,178,371,183
19072,197,498,233
18767,307,638,288
18418,349,868,365
17952,466,1101,481
17323,629,1425,623
16622,703,1870,805
15733,890,2331,1046
14711,1028,2920,1341
13485,1230,3588,1697
12101,1391,4339,2169
10714,1393,5186,2707
9297,1430,5913,3360
7894,1419,6568,4119
6596,1309,7095,5000
5419,1186,7443,5952
4477,958,7655,6910
3717,788,7593,7902
3075,675,7342,8908
2588,527,7060,9825
2174,461,6608,10757
1901,326,6223,11550
1645,305,5718,12332
1457,248,5219,13076
1332,191,4786,13691
1242,166,4298,14294
1150,168,3904,14778
1099,111,3535,15255
1053,118,3133,15696
1038,106,2812,16044
1005,107,2525,16363
1013,89,2272,16626
1019,76,2007,16898
1029,72,1762,17137
1025,77,1608,17290
1049,71,1441,17439
1082,59,1273,17586
1099,62,1125,17714
1123,61,1007,17809
1155,39,897,17909
1185,40,789,17986
1229,43,723,18005
1265,32,656,18047
1301,36,591,18072
1344,36,532,18088
1395,29,485,18091
1448,29,433,18090
1499,28,389,18084
1550,25,362,18063
1589,25,325,18061
1632,17,297,18054
1679,24,264,18033
1728,13,244,18015
1773,19,212,17996
1821,13,202,17964
1865,17,178,17940
1919,8,159,17914
1980,8,141,17871
2039,12,130,17819
2091,6,116,17787
2150,8,103,17739
2218,5,94,17683
2268,8,80,17644
2311,10,71,17608
2362,3,75,17560
2425,2,53,17520
2479,7,50,17464
2531,5,45,17419
2583,4,38,17375
2645,5,35,17315
2698,4,32,17266
2747,3,32,17218
2805,2,28,17165
2869,1,26,17104
2918,1,20,17061
2969,2,15,17014
3012,1,15,16972
3062,0,12,16926
3111,1,12,16876
3173,1,11,16815
3224,1,9,16766
3268,1,10,16721
3319,0,10,16671
3355,4,9,16632
3399,0,13,16588
3441,3,13,16543
3482,0,12,16506
3527,0,9,16464
3569,1,7,16423
3607,0,7,16386
3656,0,4,16340
3708,0,4,16288
3740,0,2,16258
3789,0,2,16209
3835,0,1,16164
3894,0,1,16105
3943,0,1,16056
3999,1,1,15999
4043,0,1,15956
4088,0,1,15911
4142,0,1,15857
4186,0,1,15813
4249,0,1,15750
4288,0,1,15711
4325,0,1,15674
4364,0,0,15636
4414,0,0,15586
4452,0,0,15548
4494,0,0,15506
4528,0,0,15472
4562,0,0,15438
4600,0,0,15400
4637,0,0,15363
4683,0,0,15317
4723,0,0,15277
4763,0,0,15237
4814,0,0,15186
4863,0,0,15137
4913,0,0,15087
4959,0,0,15041
4998,0,0,15002
5034,0,0,14966
5073,0,0,14927
5113,0,0,14887
5146,0,0,14854
5186,0,0,14814
5225,0,0,14775
5262,0,0,14738
5302,0,0,14698
5333,0,0,14667
5380,0,0,14620
5415,0,0,14585
5459,0,0,14541
5509,0,0,14491
5551,0,0,14449
5590,0,0,14410
5629,0,0,14371
5662,0,0,14338
5692,0,0,14308
5722,0,0,14278
5761,0,0,14239
5804,0,0,14196
5840,0,0,14160
5877,0,0,14123
5911,0,0,14089
5969,0,0,14031
6004,0,0,13996
6041,0,0,13959
6071,0,0,13929
6115,0,0,13885
6156,0,0,13844
6200,0,0,13800
6243,0,0,13757
6277,0,0,13723
6320,0,0,13680
6359,0,0,13641
6401,0,0,13599
6441,0,0,13559
6480,0,0,13520
6525,0,0,13475
6548,0,0,13452
6577,0,0,13423
6617,0,0,13383
6659,0,0,13341
6700,0,0,13300
6731,0,0,13269
6759,0,0,13241
6808,0,0,13192
6849,0,0,13151
6879,0,0,13121
6916,0,0,13084
6951,0,0,13049
6976,0,0,13024
7013,0,0,12987
7042,0,0,12958
7070,0,0,12930
7098,0,0,12902
7131,0,0,12869
7162,0,0,12838
7194,0,0,12806
7229,0,0,12771
7258,0,0,12742
7291,0,0,12709
7329,0,0,12671
7362,0,0,12638
7401,0,0,12599
7435,0,0,12565
7483,0,0,12517
7521,0,0,12479
7556,0,0,12444
7593,0,0,12407
7619,0,0,12381
7648,0,0,12352
7670,0,0,12330
7697,0,0,12303
7728,0,0,12272
7764,0,0,12236
7788,0,0,12212
7825,0,0,12175
7850,0,0,12150
7891,0,0,12109
7931,0,0,12069
7957,0,0,12043
7985,0,0,12015
